,aldh1a2_4mer_apo.1,aldh1a2_4mer_apo.2,aldh1a2_4mer_apo.3,aldh1a2_4mer_apo_lig.1,aldh1a2_4mer_apo_lig.2,aldh1a2_4mer_apo_lig.3,aldh1a2_4mer_nad.1,aldh1a2_4mer_nad.2,aldh1a2_4mer_nad.3,aldh1a2_4mer_nad_lig.1,aldh1a2_4mer_nad_lig.2,aldh1a2_4mer_nad_lig.3,aldh2_4mer_apo.1,aldh2_4mer_apo.2,aldh2_4mer_apo.3,aldh2_4mer_apo_lig.1,aldh2_4mer_apo_lig.2,aldh2_4mer_apo_lig.3,aldh2_4mer_nad.1,aldh2_4mer_nad.2,aldh2_4mer_nad.3,aldh2_4mer_nad_lig.1,aldh2_4mer_nad_lig.2,aldh2_4mer_nad_lig.3
34,573.75,518.13,388.7975,545.8325,598.4825,601.885,419.6875,373.95000000000005,476.875,511.325,447.28,541.78,368.1675,432.97,359.10249999999996,607.8225,549.29,518.7774999999999,375.84000000000003,408.18500000000006,436.0525,553.66,548.26,477.1975
35,481.5150000000001,462.56500000000005,359.0975,584.12,563.2225000000001,538.975,463.7525,388.3675,452.30499999999995,517.265,495.8275,569.27,391.175,433.9975,393.3375,577.0975000000001,598.645,555.39,401.38,420.175,423.575,613.9250000000001,500.41749999999996,505.60249999999996
36,487.72749999999996,497.9875,392.7425,568.6725,619.1075000000001,568.0799999999999,509.48999999999995,370.335,431.03,524.3425,439.3975,574.0174999999999,388.85499999999996,456.945,386.04499999999996,587.0875000000001,583.2525,535.8975,371.89500000000004,386.7475,461.2675,588.275,565.81,514.78
37,510.29999999999995,509.7075,370.6575,574.83,636.01,595.565,479.36,347.0575,429.94500000000005,547.7225,441.505,535.0849999999999,413.7475,455.7075,408.405,578.5025,589.68,582.0125,402.24249999999995,360.235,406.3475000000001,597.995,542.215,505.0625
38,516.5075,485.78499999999997,352.0825,567.595,598.5374999999999,572.8875,493.66749999999996,402.5175,420.875,528.5525,503.495,572.4,413.475,431.4575,351.375,562.1400000000001,562.5699999999999,522.56,405.86,404.6225,438.9675,581.31,558.6275,527.0375
39,520.9374999999999,454.625,348.72749999999996,530.6025,632.9350000000001,564.1925,511.16499999999996,397.98,412.4525,529.4725,497.935,574.505,419.31,435.34749999999997,397.8175,550.585,605.0675,517.8074999999999,434.4275,378.5925,524.2850000000001,603.6625,570.4,564.0275
40,476.495,405.1075,382.43000000000006,585.9549999999999,616.9499999999999,605.7175,458.8399999999999,352.0225,461.32,506.5224999999999,497.935,539.4575,371.1425,446.905,415.74749999999995,564.3,557.495,519.86,411.265,344.305,497.935,599.3975,511.54499999999996,541.5125
41,527.8475,565.4875,395.495,550.26,635.15,588.815,517.4825,392.68499999999995,442.5825,522.0725,456.245,559.6575,365.2,453.385,383.5625,541.6724999999999,567.27,562.5175,465.3175,409.105,447.1225,613.71,516.6175,534.275
42,505.60249999999996,502.09,405.8675,530.225,568.35,578.5025,543.6175,369.9525,476.82000000000005,528.6600000000001,496.0425,546.8575000000001,414.395,457.4875,344.84250000000003,543.8875,600.9100000000001,500.905,418.5,396.035,484.5925,553.3900000000001,526.7175,527.5275
43,507.9225,515.0525,432.86,525.8525,590.1675,574.45,482.815,401.16749999999996,471.095,511.0,531.5775,570.6200000000001,353.105,453.54499999999996,349.1625,553.2325000000001,579.4200000000001,496.20500000000004,381.345,424.05999999999995,463.7,568.6175000000001,551.665,508.78749999999997
